|M-400|CC|Pro-Q 2|
|20|0|10.000|
|20|1|10.651|
|20|2|11.344|
|20|3|12.082|
|20|4|12.868|
|20|5|13.705|
|20|6|14.597|
|20|7|15.547|
|20|8|16.559|
|20|9|17.636|
|20|10|18.784|
|20|11|20.006|
|21|12|21.308|
|22|13|22.694|
|24|14|24.171|
|25|15|25.744|
|27|16|27.419|
|28|16|27.419|
|30|17|29.203|
|32|18|31.103|
|33|19|33.127|
|36|20|35.283|
|38|21|37.579|
|40|22|40.024|
|42|23|42.628|
|45|24|45.402|
|47|25|48.356|
|50|26|51.503|
|53|27|54.854|
|56|27|54.854|
|60|28|58.423|
|63|29|62.225|
|67|30|66.274|
|71|31|70.586|
|75|32|75.179|
|80|33|80.071|
|84|34|85.281|
|90|35|90.831|
|94|36|96.741|
|100|37|103.04|
|106|37|103.04|
|112|38|109.74|
|120|39|116.88|
|125|40|124.49|
|133|41|132.59|
|140|42|141.21|
|150|43|150.4|
|160|44|160.19|
|170|45|170.61|
|180|46|181.72|
|190|47|193.54|
|200|48|206.13|
|210|48|206.13|
|224|49|219.55|
|237|50|233.83|
|250|51|249.05|
|266|52|265.25|
|280|53|282.51|
|300|54|300.9|
|315|55|320.47|
|335|56|341.33|
|355|57|363.54|
|376|58|387.19|
|400|58|387.19|
|422|59|412.39|
|450|60|439.22|
|473|61|467.8|
|500|62|498.24|
|530|63|530.66|
|560|64|565.19|
|600|65|601.97|
|630|66|641.14|
|670|67|682.86|
|710|68|727.29|
|750|69|774.62|
|800|69|774.62|
|840|70|825.02|
|900|71|878.7|
|944|72|935.88|
|1000|73|996.78|
|1060|74|1061.6|
|1120|75|1130.7|
|1200|76|1204.3|
|1250|77|1282.7|
|1330|78|1366.7|
|1400|79|1455|
|1500|79|1455|
|1600|80|1549.7|
|1700|81|1650.5|
|1800|82|1757.9|
|1900|83|1872.3|
|2000|84|1994.2|
|2100|85|2123.9|
|2240|86|2262.1|
|2370|87|2409.3|
|2500|88|2566.1|
|2660|89|2733.1|
|2800|90|2910.9|
|3000|90|2910.9|
|3150|91|3100.3|
|3350|92|3302|
|3550|93|3516.9|
|3760|94|3745.7|
|4000|95|3989.5|
|4220|96|4249.1|
|4500|97|4525.6|
|4730|98|4820|
|5000|99|5133.7|
|5300|100|5467.7|
|5600|100|5467.7|
|6000|101|5823.5|
|6300|102|6202.4|
|6700|103|6606|
|7100|104|7035.9|
|7500|105|7493.7|
|8000|106|7981.3|
|8400|107|8500.7|
|9000|108|9053.8|
|9440|109|9642.9|
|10000|110|10270|
|10600|111|10939|
|11200|111|10939|
|12000|112|11650|
|12500|113|12409|
|13300|114|13216|
|14000|115|14076|
|15000|116|14992|
|16000|117|15967|
|17000|118|17006|
|18000|119|18113|
|19000|120|19292|
|20000|121|20547|
|20000|122|21884|
|20000|123|23308|
|20000|124|24825|
|20000|125|26440|
|20000|126|28160|
|20000|127|30000|
